incident_id,sensor_id,work_status,location_info_x,location_info_y,collect_time,air_temperature(°C),humidity(volume %),photosynthetic_effect(μmol/m²/s),atmo_pressure(Pa),light_sensor(Lux),min_wind_dir(°),max_wind_dir(°),avg_wind_dir(°),min_wind_speed(m/s),max_wind_speed(m/s),avg_wind_speed(m/s),rainfall(mm),rainfall_time(min),rainfall_extent(mm),max_rainfall_extent(mm),heat_temparature(°C),toppling_condition,co2_concentration(ppm)
1326,311,1,87.30584,44.2181,202409061449,28.08,31.84,1336,94850,87830,0,359.1,353.2,1.1,1.7,1.4,426.4,21130,0,0,29.01,0,360
1327,311,1,87.30584,44.2181,202409061549,29.98,23.5,1211,94800,83320,11.3,35.5,19.7,3,3.7,3.2,426.4,21130,0,0,30.48,0,360
1328,311,1,87.30584,44.2181,202409061649,30.46,23.06,989,94720,73530,345.2,357.3,352.1,2.9,4.4,3.7,426.4,21130,0,0,31.34,0,363
1329,311,1,87.30584,44.2181,202409061749,30.85,21.4,706,94690,58125,15.8,34.9,26.4,2.5,3.5,2.8,426.4,21130,0,0,31.99,0,360
1330,311,1,87.30584,44.2181,202409061849,30.19,23.01,402,94700,38720,2.3,22.1,9.3,1,1.8,1.5,426.4,21130,0,0,32.02,0,359
1331,311,1,87.30584,44.2181,202409061949,27.7,33.98,146,94740,14125,296.3,316.7,302.6,2.4,4.1,3.5,426.4,21130,0,0,27.95,0,362
1332,311,1,87.30584,44.2181,202409062049,24.78,39.59,6,94760,420,254.9,265.9,262.5,1.5,1.9,1.7,426.4,21130,0,0,24.55,0,361
1333,311,1,87.30584,44.2181,202409062149,22.93,43.54,0,94840,0,233.5,251.9,239.5,0.9,1.3,1.1,426.4,21130,0,0,22.57,0,367
1334,311,1,87.30584,44.2181,202409062249,20.76,50.73,0,94900,0,223.6,263.3,232.4,1.3,2,1.7,426.4,21130,0,0,20.54,0,386
1335,311,1,87.30584,44.2181,202409062349,20.38,50.24,0,94940,0,225.9,250.5,233.1,1.9,3.7,2.6,426.4,21130,0,0,20.13,0,389
1336,311,1,87.30584,44.2181,202409070049,18.92,55.26,0,95030,0,244.7,268.4,254.4,0.7,1,0.8,426.4,21130,0,0,18.65,0,387
1337,311,1,87.30584,44.2181,202409070149,19.46,52.92,0,95090,0,255.2,284,268.2,2,3.1,2.7,426.4,21130,0,0,19.31,0,371
1338,311,1,87.30584,44.2181,202409070249,17.52,59.96,0,95150,0,259.2,274.1,265,1.7,2.8,2.3,426.4,21130,0,0,17.4,0,372
1339,311,1,87.30584,44.2181,202409070349,15.83,66.82,0,95130,0,280.6,292.8,287.6,1.8,2.6,2.2,426.4,21130,0,0,15.72,0,370
1340,311,1,87.30584,44.2181,202409070449,15.03,67.94,0,95180,0,262.3,273.4,268,1.9,2.6,2.3,426.4,21130,0,0,14.83,0,366
1341,311,1,87.30584,44.2181,202409070549,15.46,63.8,0,95270,0,282,303.1,292.9,2.3,4,3.1,426.4,21130,0,0,15.3,0,362
1342,311,1,87.30584,44.2181,202409070649,15.06,67.32,0,95300,0,275.1,285.4,281.1,2.8,3.4,3.1,426.4,21130,0,0,15,0,357
1343,311,1,87.30584,44.2181,202409070749,15.07,69.65,1,95400,185,257.2,274.7,264.9,1.6,2.2,1.9,426.4,21130,0,0,15.18,0,360
1344,311,1,87.30584,44.2181,202409070849,16,66.72,50,95480,3220,264.2,274.2,269,2.8,3.6,3.1,426.4,21130,0,0,16.05,0,348
1345,311,1,87.30584,44.2181,202409070949,16.5,67.74,154,95520,9500,263.2,284,269,1.1,2.1,1.6,426.4,21130,0,0,16.74,0,350
1346,311,1,87.30584,44.2181,202409071049,18.33,60.69,330,95550,19050,0.9,355.4,336.3,1.3,2,1.7,426.4,21130,0,0,18.9,0,342
1347,311,1,87.30584,44.2181,202409071149,19.36,55.67,218,95630,10950,3.2,357.7,18.6,1.4,2.4,1.9,426.4,21130,0,0,19.64,0,337
1348,311,1,87.30584,44.2181,202409071249,18.92,57.56,132,95680,7870,347.7,355.7,352,1.8,2.2,2,426.4,21130,0,0,19.25,0,336
1349,311,1,87.30584,44.2181,202409071349,18.78,58.62,163,95740,10460,336.8,355.6,342.5,1.7,2.5,2,426.4,21130,0,0,18.9,0,335
1350,311,1,87.30584,44.2181,202409071449,18.42,59.28,116,95880,7010,314,321.3,317.9,2.5,3.4,3,426.4,21130,0,0,18.5,0,337
1351,311,1,87.30584,44.2181,202409071549,15.52,73.37,69,96090,4660,322.1,336.3,329.2,4.8,10.4,8.2,428,21210,1.6,36,13.39,0,338
1352,311,1,87.30584,44.2181,202409071649,14.02,84.08,65,96210,5770,304.7,322.9,314.2,2,3,2.6,431.4,21380,3.4,36,13.25,0,344
1353,311,1,87.30584,44.2181,202409071749,14.02,85.17,118,96320,7520,302.7,308.4,305.55,3.3,4.8,4.4,433.6,21490,2.2,12,12.76,0,341
1354,311,1,87.30584,44.2181,202409071849,13.43,88.94,45,96420,4125,254.7,263.1,258.9,3.3,3.8,3.5,434.2,21520,0.6,12,12.98,0,344
1355,311,1,87.30584,44.2181,202409071949,12.71,92.81,16,96560,1305,239.3,251.5,245.8,1.9,2.6,2.2,438,21710,4,12,12.24,0,355
1356,311,1,87.30584,44.2181,202409072049,12.59,93.85,0,96650,75,265.2,280.8,272.7,1.6,2.9,2.3,440,21810,2,12,12.18,0,354
1357,311,1,87.30584,44.2181,202409072149,12.71,94.23,0,96820,0,277.1,302.8,286,1.9,2.7,2.3,441.6,21890,1.6,12,12.3,0,360
1358,311,1,87.30584,44.2181,202409072249,12.12,91.99,0,96870,0,224.9,239.7,232.4,1.4,2.5,1.8,444.4,22030,2.8,12,11.56,0,354
1359,311,1,87.30584,44.2181,202409072349,11.7,90.64,0,96910,0,218.6,271.4,236.7,1.4,2.8,2.1,444.4,22030,0,0,11.55,0,355
1360,311,1,87.30584,44.2181,202409080049,11.48,90.4,0,96890,0,203.9,203.9,203.9,0,0.5,0.4,444.6,22040,0.2,12,11.72,0,354
1361,311,1,87.30584,44.2181,202409080149,11.85,87.99,0,96930,0,158.8,215.2,198.9,0.9,1.4,1.1,444.6,22040,0,0,12.04,0,356
1362,311,1,87.30584,44.2181,202409080249,12.24,84.89,0,96880,0,156,208,169.3,1.1,1.4,1.2,444.6,22040,0,0,12.38,0,356
1363,311,1,87.30584,44.2181,202409080349,11.7,85.82,0,96900,0,246.8,281.7,265.5,1,1.2,1.1,444.6,22040,0,0,11.87,0,358
1364,311,1,87.30584,44.2181,202409080449,11.6,86.54,0,96860,0,143.7,143.7,143.7,0.5,0.7,0.6,444.6,22040,0,0,11.77,0,364
1365,311,1,87.30584,44.2181,202409080549,10.44,89.37,0,96830,0,180,180,180,0,0.4,0.3,444.6,22040,0,0,10.61,0,378
1366,311,1,87.30584,44.2181,202409080649,10.07,87.39,0,96850,0,232,257.4,242.6,0.5,1.5,1,444.6,22040,0,0,9.99,0,367
1367,311,1,87.30584,44.2181,202409080749,8.48,92.01,3,96840,620,184.3,184.3,184.3,0,0,0,444.6,22040,0,0,8.42,0,405
1368,311,1,87.30584,44.2181,202409080849,9.09,91.44,63,96830,14950,308.6,315,312.2,0.7,0.9,0.8,444.6,22040,0,0,9.85,0,417
